idTabela;codTipoOrgao;codOrgao;txtNome;txtSigla;datCriacao;datExtincao;docCriacao;urlDocCriacao;codProposicao
;2;537870;Comissão de Defesa dos Direitos da Mulher;CMULHER;2016-04-28;;RES 15/2016;https://www2.camara.leg.br/legin/fed/rescad/2016/resolucaodacamaradosdeputados-15-28-abril-2016-782949-publicacaooriginal-150191-pl.html;
;2;537871;Comissão de Defesa dos Direitos da Pessoa Idosa;CIDOSO;2016-04-28;;RES 15/2016;https://www2.camara.leg.br/legin/fed/rescad/2016/resolucaodacamaradosdeputados-15-28-abril-2016-782949-publicacaooriginal-150191-pl.html;
;2;2008;Comissão de Desenvolvimento Econômico, Indústria, Comércio e Serviços;CDEICS;2015-10-30;;RES 12/2015;https://www2.camara.leg.br/legin/fed/rescad/2015/resolucaodacamaradosdeputados-12-29-outubro-2015-781847-publicacaooriginal-148557-pl.html;608521
;2;537480;Comissão de Defesa dos Direitos das Pessoas com Deficiência;CPD;2015-02-25;;RES 1/2015;https://www2.camara.leg.br/legin/fed/rescad/2015/resolucaodacamaradosdeputados-1-25-fevereiro-2015-780184-publicacaooriginal-146192-pl.html;492263
;2;6066;Comissão de Turismo;CTUR;2014-02-19;;RES 54/2014;https://www2.camara.leg.br/legin/fed/rescad/2014/resolucaodacamaradosdeputados-54-19-fevereiro-2014-778223-publicacaooriginal-143476-pl.html;606503
;2;537236;Comissão do Esporte;CESPO;2014-02-19;;RES 54/2014;https://www2.camara.leg.br/legin/fed/rescad/2014/resolucaodacamaradosdeputados-54-19-fevereiro-2014-778223-publicacaooriginal-143476-pl.html;606503
;2;2017;Comissão de Integração Nacional, Desenvolvimento Regional e da Amazônia;CINDRA;2013-03-07;;RES 23/2013;https://www2.camara.leg.br/legin/fed/rescad/2013/resolucaodacamaradosdeputados-23-6-marco-2013-775508-publicacaooriginal-139229-pl.html;566666
;2;536996;Comissão de Cultura;CCULT;2013-02-28;;RES 21/2013;https://www2.camara.leg.br/legin/fed/rescad/2013/resolucaodacamaradosdeputados-21-27-fevereiro-2013-775437-publicacaooriginal-139135-pl.html;565586
;2;2009;Comissão de Educação;CE;2013-02-28;;RES 21/2013;https://www2.camara.leg.br/legin/fed/rescad/2013/resolucaodacamaradosdeputados-21-27-fevereiro-2013-775437-publicacaooriginal-139135-pl.html;565586
;2;;Comissão da Amazônia, Integração Nacional e de Desenvolvimento Regional;;2004-03-18;2013-03-06;RES 20/2004;https://www2.camara.leg.br/legin/fed/rescad/2004/resolucaodacamaradosdeputados-20-17-marco-2004-783666-publicacaooriginal-151140-pl.html;149662
