"id";"siglaPartido";"nome";"codOcorrencia";"tituloOcorrencia";"dataOcorrencia";"idPartidoDestino";"siglaPartidoDestino";"descricaoOcorrencia";
36766;"AIB";"Ação Integralista Brasileira";1;"Criação";"1935-03-01";36766;"AIB";"Data estimada do II Congresso Integralista, em que a AIB decidiu se tornar partido. Há divergências entre fontes e não há documentação oficial do TSE.";
36766;"AIB";"Ação Integralista Brasileira";2;"Extinção";"1937-12-02 00:00:00.000";36766;"AIB";"Extinto pelo Decreto 37/1937";
36768;"ARENA";"Aliança Renovadora Nacional";1;"Criação";"1966-04-04 00:00:00";36768;"ARENA";;
36768;"ARENA";"Aliança Renovadora Nacional";2;"Extinção";"1979-12-20 00:00:00.000";36768;"ARENA";"Extinto pela Lei 6.767/1979 de 20/12/1979 (art. 2º)";
36857;"ASD";"Aliança Social Democrata";1;"Criação";"1945-09-01 00:00:00.000";36857;"ASD";"Data de registro provisório pela Resolução TSE 155";
36857;"ASD";"Aliança Social Democrata";2;"Extinção";"1948-05-04 00:00:00.000";36857;"ASD";"Data de cancelamento de registro pela Resolução TSE 2870";
36898;"AVANTE";"Avante";1;"Criação";"2017-09-25 00:00:00.000";36898;"AVANTE";"Resultante da troca de nome do PTdoB.";
;"CAB";"Concentração Autonomista da Bahia";1;"Criação";"1935-07-02";;"CAB";;
;"CAB";"Concentração Autonomista da Bahia";2;"Extinção";"1937-12-02";;;"Extinto pelo Decreto 37/1937";
37905;"CIDADANIA";"Cidadania";1;"Criação";"2019-04-05 00:00:00.000";37905;"CIDADANIA";"Resultante da troca de nome do PPS (36813) cadastrada em 05/04/2019";
36858;"CSD";"Confraternização Social Democrata";1;"Criação";"1945-10-09 00:00:00.000";36858;"CSD";"Registro provisório pela Resolução TSE 243";
36858;"CSD";"Confraternização Social Democrata";2;"Extinção";"1948-06-01 00:00:00.000";36858;"CSD";"Data estimada. Faltam registros no TSE sobre o cancelamento do registro provisório.";
37902;"DC";"Democracia Cristã";1;"Criação";"2018-05-17 00:00:00.000";37902;"DC";"Troca de nome do PSDC";
36770;"ED";"Esquerda Democrática";1;"Criação";"1945-09-25 00:00:00";36770;"ED";;
36770;"ED";"Esquerda Democrática";3;"Alteração Nome";"1947-08-06 00:00:00";;"PSB*";"Resolução TSE 2130 - Troca de nome para PSB";
36771;"FUG";"Frente Única Gaúcha";1;"Criação";"1929-08-15";36771;"FUG";"Data aproximada. Bloco resultante de aliança do PRR com o PL***, que continuou existindo";
36771;"FUG";"Frente Única Gaúcha";2;"Extinção";"1937-12-02 00:00:00.000";36771;"FUG";"Extinta pelo Decreto 37/1937";
36772;"LASP";"Liga de Ação Social e Política da Bahia";1;"Criação";"1933-02-07 00:00:00";;;;
36772;"LASP";"Liga de Ação Social e Política da Bahia";4;"Fusão";"1935-07-02";;"CAB";"Fusão com o Partido Republicano Democrata";
36773;"LEC";"Liga Eleitoral Católica";1;"Criação";"1932-03-01";36773;"LEC";"Data de criação estimada";
36773;"LEC";"Liga Eleitoral Católica";2;"Extinção";"1937-12-02";36773;"LEC";"Extinto pelo Decreto 37/1937";
36899;"MDB";"Movimento Democrático Brasileiro";1;"Criação";"2018-05-21 11:16:00.000";36899;"MDB";;
36774;"MDB*";"Movimento Democrático Brasileiro";2;"Extinção";"1979-12-20 00:00:00.000";36774;"MDB*";"Extinto pela Lei 6.767/1979 de 20/12/1979 (art. 2º)";
36775;"MTR";"Movimento Trabalhista Renovador";1;"Criação";"1961-09-20 00:00:00";36775;"MTR";"Resolução TSE 6860";
36775;"MTR";"Movimento Trabalhista Renovador";2;"Extinção";"1965-10-27 00:00:00.000";36775;"MTR";"Extinto pelo Ato Institucional 2 em 1965";
36859;"NEPEC";"Núcleo Eleitoral Pró Emancipação Carioca";1;"Criação";"1936-02-08 00:00:00.000";36859;"NEPEC";"Data de publicação do registro provisório no Diário da Justiça n. 17";
36859;"NEPEC";"Núcleo Eleitoral Pró Emancipação Carioca";2;"Extinção";"1937-12-02 00:00:00.000";36859;"NEPEC";"Extinto pelo Decreto 37/1937. Tentativa de novo registro em 1945 foi negada em 09/08/1945.";
37901;"NOVO";"Partido Novo";1;"Criação";"2015-09-15 00:00:00.000";37901;"NOVO";;
;"PADF";"Partido Autonomista do Distrito Federal";1;"Criação";"1933-03-05 00:00:00";;"PADF";;
;"PADF";"Partido Autonomista do Distrito Federal";6;"Extinção";"1937-12-02 00:00:00";;;"Extinto pelo Dec. 37/1937";
36776;"PAN";"Partido dos Aposentados da Nação";1;"Criação";"1998-02-19 00:00:00.000";36776;"PAN";"Data de registro pelo TSE. Fundação extraoficial em 22/11/1995.";
