sigla_antiga,sigla_nova
APOIO,Governo
AVANTE,Avante
Avante,Avante
PTDO,Avante
PTdoB,Avante
PTDOB,Avante
TDO,Avante
CIDA,Cidadania
CIDADANIA,Cidadania
Cidadania,Cidadania
PPS,Cidadania
pps,Cidadania
DC,DC
PSDC,DC
DEM,DEM
dem,DEM
Democratas,DEM
PFL,DEM
GOV,Governo
GOVERNO,Governo
Governo,Governo
MAIORIA,Maioria
Maioria,Maioria
MDB,MDB
Movimento Democrático Brasileiro,MDB
PMBD,MDB
PMDB,MDB
pmdb,MDB
MINORIA,Minoria
Minoria,Minoria
NI,NI
NOVO,NOVO
Partido Novo,NOVO
OPOSI,Oposicao
Oposicao,Oposicao
Oposição,Oposicao
PAN,PAN
PATRI,Patriota
PATRIOTA,Patriota
Patriota,Patriota
PEN,Patriota
PCB,PCB
CDO,PCdoB
Partido Comunista do Brasil,PCdoB
PC DO  B,PCdoB
PC do B,PCdoB
PC DOB,PCdoB
PCDB,PCdoB
PCdoB,PCdoB
PCDOB,PCdoB
PDB,PDB
PDC,PDC
PDS,PDS
Partido Democrático Trabalhista,PDT
PDT,PDT
pdt,PDT
Partido Humanista da Solidariedade,PHS
PHS,PHS
PJ,PJ
PL,PL
PL*,PL
Partido da República,PL
PR,PL
PLP,PLP
PMB,PMB
PBDB,PMDB
Partido da Mobilização Nacional,PMN
PMN,PMN
PMR,PMR
PODE,Podemos
PODEMOS,Podemos
Podemos,Podemos
PTN,Podemos
PPB,PPB
PPL,PPL
PPR,PPR
Partido Republicano Brasileiro,Republicanos
PRB,Republicanos
prb,Republicanos
pRB,Republicanos
PRN,PRN
PP,Progressistas
pp,Progressistas
PP*,Progressistas
PP**,Progressistas
Progressistas,Progressistas
PRONA,PRONA
Partido Republicano da Ordem Social,PROS
PROS,PROS
Partido Republicano Progressista,PRP
PRP,PRP
PRS,PRS
PRTB,PRTB
Partido Socialista Brasileiro,PSB
PSB,PSB
Partido Social Cristão,PSC
PSC,PSC
Partido Social Democrático,PSD
PSD,PSD
Partido da Social Democracia Brasileira,PSDB
PSBB,PSDB
PSBD,PSDB
PSDB,PSDB
psdb,PSDB
Partido Social Liberal,PSL
PSL,PSL
Partido Socialismo e Liberdade,PSOL
PSOL,PSOL
PST,PST
PSTU,PSTU
Partido dos Trabalhadores,PT
PT,PT
pt,PT
PT -,PT
Partido Trabalhista Brasileiro,PTB
PTB,PTB
PTC,PTC
PTR,PTR
Partido Verde,PV
PV,PV
REDE,REDE
Rede,REDE
Rede Sustentabilidade,REDE
S Partido,S.PART.
S.PART,S.PART.
S.PART.,S.PART.
S.Part.,S.PART.
S/Part,S.PART.
S/Partido,S.PART.
S/PARTIDO,S.PART.
SPART,S.PART.
SD,Solidariedade
SDD,Solidariedade
SOLIDARI,Solidariedade
SOLIDARIED,Solidariedade
Solidaried,Solidariedade
Solidariedad,Solidariedade
SOLIDARIEDADE,Solidariedade
Solidariedade,Solidariedade
REPUBLICANOS,Republicanos
Republican,Republicanos
REPUBLICAN,Republicanos
Apoio ao Governo,Governo
