"plenPropId";"plenPropDesc";"propRelacSigla";"propRelacNumero";"propRelacAno";"propRelacId";"propRelacApelido";"propRelacEmenta";"propRelacOrgaoOrigem"
"19574";"INVERSÃO DE PAUTA";;"0";"0";;;;
"21153";"REQUERIMENTO DE RETIRADA DE PAUTA";;"0";"0";;;;
"100000015";"SUBSTITUTIVO";;;;;;;
"100000030";"DVS - PARAGRAFO ,3. ,4. E 5. EMENDA 3";;;;;;;
"100000060";"ITEM XXI - RECURSO 18.";;;;;;;
"100000118";"REQUERIMENTO DE URGENCIA";;;;;;;
"100000144";"";;;;;;;
"100000148";"DVS ART. 1 - PARAGRAFO 1.";;;;;;;
"100000149";"DVS - ART. 2.";;;;;;;
"100000150";"DVS - EXPRESSAO - ART. 2.";;;;;;;
"100000151";"ART. 3 E PARAGRAFOS";;;;;;;
"100000155";"DEST. EM. N. 7 - 280.000,00";;;;;;;
"100000158";"EMENDA N. 17";;;;;;;
"100000198";"REQUERIMENTO COMISSAO EXTERNA COELCE.";;;;;;;
"100000200";"EFEITO SUSPENSIVO RECURSO DEPUTADO MARCELO DEDA";;;;;;;
"100000226";"RECURSO REFERENTE A EMENDA N. 64";;;;;;;
"100000270";"REQUERIMENTO COMISSAO EXTERNA - PEDRO VALADARES.";;;;;;;
"100000319";"DVS ART.159 PARAGRAFO 1o";;;;;;;
"100000379";"PROJETO - SEGUNDO TURNO";;;;;;;
"100000477";"REQUERIMENTO COMISSAO EXTERNA - NAZARE DA MATA - PE";;;;;;;
"100000503";"PROJETO";;;;;;;
"100000504";"REQUERIMENTO COMISSAO EXTERNA - DEPUTADO GERALDO PASTANA";;;;;;;
"100000513";"PROJETO DE LEI COMPLEMENTAR N. 199/97 (PL. N. 2824/97";;;;;;;
"100000559";"SUBEMENDA SUBSTITUTIVA PLC 223/90";;;;;;;
"100000560";"DESTAQUE DA EXPRESSAO E TRIBUTARIA... ART3, INCISO 3";;;;;;;
"100000561";"ARTIGO 9 DA SUBEMENDA SUBSTITUTIVA";;;;;;;
"100000562";"DVS AO ART. 9 DA SUBEMENDA SUBSTITUTIVA.";;;;;;;
"100000563";"DVS EXPRESSAO ""MEDIANTE LEI"" (ART. 11 DA  SUBEMENDA)";;;;;;;
"100000564";"DVS AO PAR. UNICO DO ART. 11";;;;;;;
